,star,date,review
9,5,2018년 11월 27일, 언어는 본인이 알아서 옵션 들가서 바꿔야지 그게 기본 중에 기본이잖아요 그런것도 못하면 게임을 하지마세요 본인 무식한거 자랑하고 싶은건가요? 조작감은 이해하지만 언어 못바꿔서 1점 주는건 진짜 노.이.해.다 언어가 영어로 뭔지 모르는건가? 아무리 영알못이여도 기초적인건 대부분 알텐데 ㅋㅋ 진짜 비정상인들 많다
,1,2018년 12월 7일, 문시1 기다린 입장에선 실망이 큼. 기능은 많은데 너무 오래걸리고 불친절함. 문시1때처럼 군사 몇천으로 치고박는 싸움이 쉽지않음
0,4,2018년 12월 6일, 재밌게 하고있는데 문명의시대로 플레이 할땐 턴마다 넘어가는 로딩이 너무 기네요ㅠㅠ 꼭개선해 주셨으면 좋겠습니다..
1,5,2018년 12월 6일, I got this game oh yyyyyyy your the best game maker in the world
2,5,2018년 12월 6일, 많은 업데이트 부탁합니다
3,5,2018년 12월 6일, Very very nice Łukasz
4,5,2018년 12월 6일, It's very good.
5,5,2018년 12월 6일, 드디어나왔구나
6,5,2018년 12월 6일, 띵겜
7,5,2018년 12월 6일, I love Poland.
8,5,2018년 12월 6일, Best
9,5,2018년 12월 7일, 좋아요
,5,2018년 11월 4일," 이거하나 하는데 랙걸린다고 징징대는 애들은 뭐냐? 여기에 랙먹는다고 싸질러놓으면 ""제 핸드폰으로는 앵그리버드 클래식도 안돌아가요!"" 하는거랑 뭐가다르냐 이거하나로 랙먹으면 그냥 하지마. 그 똥폰으로 랙먹는다고 써서 개발자님들 괜히 욕하지말고 폰부터 바꿔라."
0,1,2018년 11월 2일, 아니 무슨 오류가 장난아니고 렉은 밥먹듯 하고 그런데 이건 어느정도 참을수 있는데 왜??앱 사진이 전범기가 있저??? 그건 용납할수 없네요 뜻은 알고 하세요 전범기는 나치 하켄크로이츠나 다름 없습니다. 빨리 수정하면 별3개라도 주고 싶네요
1,1,2018년 11월 6일, 게임 한번에 광고 한번이네요. 짜증나요
2,1,2018년 11월 29일, ㅅㅂ 별개수가줄어들어요 어떻게된일이나요?
3,3,2018년 11월 17일, 게임은 재밌는데요 광고가엄청나와요 광고좀줄여주세요 그리고 제가 1스테이지부터 마지막스테이지 다른 스테이지 전부다 힘들게 1개도 빠짐없이 다 별3개로 해서 깼었는데 어느날 다시 들가보니 전부 깼던 스테이지 들이 초기화되있고 지금 스테이지 3개 남았는데 또 리셋되면 앵그리버드 접습니다 추억으로 지금까지 하는거니깐
4,5,2018년 11월 24일, 재밌고 즐겁습니다.
5,1,2018년 12월 3일, 광고 오바임;;
6,5,2018년 11월 3일, 꿀잼
7,5,2018년 11월 17일, 매우좋음
8,5,2018년 10월 10일, 광고 없는 유료화를 해 주세요. 돈 내고 다운 할 생각 있음.
9,1,2018년 10월 21일, 이거 뭐임?이거 깔지 마세요.아니 나무를 부셨는대 왜 계속 반복되요?다음 으로 넘어가여죠.
,5,2018년 10월 9일, 광고 많다는 분은 와이파이 또는 데이터를 끄고 사용하면 광고가 안뜹니다....(광고는 인터넷이 연결되어있어야 뜰 수 있으니깐)
0,5,2018년 9월 12일, 와 너무 추억인데 게임이 변한게 없어서 진짜 좋았다
1,1,2018년 10월 6일, 광고보느라 플레이불가 쉩
2,3,2018년 11월 3일, 다음 스테이지 넘어가면 완전히 멈춰서 아무것도 실행이 안되요
3,5,2018년 9월 28일, 중독성
4,5,2018년 7월 15일, 재미잇는디요새로운것좀넣어서하쇼.근디 광고없으면안되남?업데이좀하슈
5,2,2018년 7월 11일, 광고도 많이 나오고 리오같지도 않음..추억의 게임이니 별2개
6,5,2018년 9월 3일, 똥 뱃살 싸지 마
7,5,2018년 8월 1일, 좋아요ㅎㅎ
8,5,2018년 7월 1일, 최고의 추억팔이(그래픽이 바꼈군...)
9,5,2018년 5월 30일, Good
,5,2018년 12월 4일, 턴방식의 어드벤처 게임을 섞어놓은 참으로 신기한 형태의 게임입니다. 장비와 본부를 업그레이드하면서 모험을 하는 재미가 쏠쏠합니다.주변 사물을 이용한 어쎄신의 공격은 나중에는 단조로와질지 모르겠으나 초반엔 참 신기합니다.
0,5,2018년 12월 4일, 간만에 헨드폰에게임깔고지우지않고해나갑니다! 지루하지않고재미있어요!!ㅋㅋㅋ
1,5,2018년 12월 4일, 턴제에 아기자기한 어크라니 참신하네요
2,5,2018년 12월 5일, 아기자기 하면서도 케릭육성과 전략턴게임의 특성을 잘 표현해서 즐길거리가 많은 게임입니다.
3,5,2018년 12월 4일, 재미있고 쉬우면서 계속하게됨ㅋㅋ
4,5,2018년 12월 4일, 나름 원작 느낌을 살렷네요 본부 메인 노래는 에지오 패밀리스 ost 넣어서 어쌔신크리드2느낌이네요
5,5,2018년 12월 5일, 한국서버 공개 커뮤니티 하나 운영해주세요
6,5,2018년 12월 5일, Good Game!
7,5,2018년 12월 5일, 제미잇어요
8,5,2018년 12월 5일, So lovely~
9,5,2018년 12월 4일, 젬있네요 ㅋㅋㅋㅋ
,3,2018년 12월 6일, 퍼즐 노잼각 (장난이신거 아시죠)
0,5,2018년 12월 2일, 짱!
1,4,2018년 12월 2일, 심심할때 하기 좋아요
2,3,2018년 11월 29일, 시간보내기좋아요
3,5,2018년 12월 6일, 킬링타임용으로 좋음
4,5,2018년 12월 1일, Good
5,4,2018년 12월 6일, 시간보내기 좋아요.
6,5,2018년 12월 5일, 그럭저럭 합니다
7,5,2018년 11월 9일, 중독성이 강하네요.ㅋㅋ
8,5,2018년 11월 16일, 무료할때 딱이네용
9,5,2018년 11월 28일, 시간 날아가요
,5,2018년 11월 25일, 음 저가 핸드폰으로 이게임을 깔았는데여 노트북으로하니까 다시깔아야하내요.;
0,5,2018년 12월 2일, 풍선타워디펜스는 플레이 안해봐도 5점
1,5,2018년 11월 7일, 굿굿울
2,5,2018년 11월 30일, 후반가면 할거없는....
3,5,2018년 11월 29일, 꿀잼꿀잼
4,5,2018년 7월 30일," 저장하는방법,불로오는방법 모르시는분들은 알려드릴게요. 안돼면.. 욕하진..말아주세요. 1.설정에 들어간다 2.구름모양에 아이콘을 
클릭한다 3.클릭한 다음 왼쪽에있는 파일을 오른쪽으로 드래그한다 4.저장을 덮여씌우시겠습니까? 라고뜬다 여기서 예를 누른다 파일을 
불로오는방법 1.설정에 들어간다 2.구름모양에 아이콘을 클릭한다 3.클릭한 다음 오른쪽에있는 파일을 왼쪽으로 드래그한다 4.저장 정보를 
덮여씌우시겠습니까? 라고뜬다 여기서예를 누른다 저도 최대한 적은거에요 참고하세요!"
5,5,2018년 7월 15일," 플래시 기반이던 BTD4때부터 즐겨왔는데, 6 출시하고도 5를 계속 업데이트해주는게 맘에듭니다 ㅎㅎ 지금은 6을 집중적으로 하지만, 
5편이야말로 BTD시리즈의 완전체로, 처음 접하시는 분들은 6보다는 5를 권장해드리고 싶군요 :)"
6,5,2018년 9월 21일, 이거 100% 할인할때 무료로 샀는데 정말 재밌어요 이겜이 제가 했던 게임 중에서 1~2위인거 같아요 벌써 TD6이 출시됬네요 살수있으면 살게요
7,2,2018년 8월 22일, 이거 환불해주세요 아무리 환불을눌러도 환불이안돼요 1200원 스킨이에요 제발부탁할게요
8,1,2018년 7월 20일, 폰바꾸고나니 기존 다깨논아이디 날라갔어요 복구좀 시켜주세요
9,5,2018년 7월 14일, 협동전매칭이 잘 안잡혀요 왜그런지모르겠어요.. 답변부탁드립니다!
,1,2018년 11월 26일, 조정이 어렵게 되어 게임외적인 영향을 많이 받음
0,5,2018년 11월 29일, 할 거 없을 때마다 하면 좋아요!:D 제가 단계를 다 깼는데 업뎃은 언제 되나요??
1,5,2018년 12월 4일, 업데이트가 너무 느려요 ㅠㅠ
2,3,2018년 11월 7일, 별 3개로깨는게 의미가 있는지는 모르겠지만 21스테이지 2발쏘고 클리어까지 했음에도 별2개가 끝이다 점수컷 너무 높다
3,5,2018년 11월 6일, 2970판 다음 업데이트 부탁드려요 ㅠ ㅠ ㅠ
4,4,2018년 11월 8일, 영어로써있어서좀불편해요
5,5,2018년 11월 10일, 해보니까 정말 재미있어용!
6,5,2018년 11월 19일, 최교
7,5,2018년 11월 18일, 재미있네요
8,4,2018년 11월 26일, 재미나요
9,5,2018년 11월 3일, 좋아요
,5,2016년 10월 25일,너무하네요 이건 법적으로 금지해야합니다. 중독성이 너무 심하네요. 근데 확실히 직관성이나 가독성은 이전 버전이 더 나았던 것 같기도하네요. 그래도 이전 버전에서 자주 발생하던 게임이 갑자기 멈추는 오류는 잡으신 거 같아서 5점 드립니다.
0,3,2016년 10월 5일,재밌음 재밌음. 전반적으로 1이랑 큰 차이는 없는듯. 렉이라던가 팅김 가끔 있음. 외교화면에서 플레이어 이외 4개문명은 서로 본 적도 없다며 절레절레거림.. 늬들은 방구석에만 있니 뭐니...
1,4,2016년 8월 19일,이거구입하고 나선 안그랬는데 랙이 자꾸 걸리네요 정말재밌고  시간날때마다하는데랙이걸려요 그래서 별 4개 .. 입니다 1이더 좋았다 하시는분 있으으시길래1은 안해봤지만 저는 꽤 좋다고 생각해요 (랙만 아니면...)  혹시 제폰이 이상한걸까요?
2,1,2016년 2월 6일,이럴거면 버전업 왜했나 시나리오나 추가하지.. 직관적이지도 않고 지저분함만 늘려놨음. 이전 버전 그냥두지 그래픽만 바꿔 돈벌려고 짜증만 나게 해놨음.. 좋아하는게임 망쳐놔서 기분 매우 않좋네요
3,4,2017년 10월 10일, 가끔씩 도시탭을 눌러도 기술창이나 유닛창이 안뜸.. 그럴때마다 다시시작하긴하는데 조금 불편해요 이거빼곤 게임성은 👍👍
4,2,2017년 2월 12일," 분명 문명의 독특한 재미를 지닌 수작. 허나 제일 중요한 외교부분에서 이간질이 안되고, 동맹후 한곳을 치는것도 안되며,심지어 지네끼린 전혀 관심도 없고 못만났다며 플레이어만 다구리 치는,문명의 제일 핵심적인 부분인 그 외교에 아주 크나큰 결점이 있는 문명 계보에 들기 민망한 작품이다."
5,1,2016년 9월 7일,튕김현상 갤노트7 유저 입니다 게임시작후 중반쯤 되었을때 튕김현상 일어나고 그후 계속 반복된니다 더이상 게임 하고싶지 않네요 환불해주시기 바랍니다
6,4,2016년 9월 5일,버그인지  오류인지 시나리오 평화협정하고있는데 왜 컴퓨터가 전쟁거는거죠 ㅡㅡ 스파이짓도안했고 먼저 시비도안걸었는대 지혼자 선전포고없이 도시뺏고
7,2,2018년 6월 12일, 환불해 주세요. 다운받고 설치까지 했는데 게임실행이 잘 안되요. 결제하고 10분도 안됐어요 ㅠㅠ 왜이래요 ㅠ 환불 부탁드립니다
8,2,2015년 12월 21일,"Not worth your time and money. Im a long time civilization series fan and this mobile version purchase was big excitement to me. But I didnt even like first 10 minutes into the game and now I am into about 10 hours into the game, I find myself not coming back to this game anymore. This just is not well thought out game. The world...전체 리뷰Im a long time civilization series fan and this mobile version purchase was big excitement to me. But I didnt even like first 10 minutes into the game and now I am into about 10 hours into the game, I find myself not coming back to this game anymore. This just is not well thought out game. The world is plastic like and unreal, units are silly, game play is shallow. And those are very very bad signs for civilization game. Only reason I give 2 star and not 1 is because my love for the series."
9,1,2016년 1월 24일,베가 아이언 2 유저인데 외교가 안 되네요 이간질 시키려고 해도 2002 a.d가 되어도 못 만나 봤다고 하는게 말이 된다고 생각하는 거에요!!!?
,5,2018년 12월 5일, 잼있어요 ㅋ
0,5,2018년 11월 14일, 굳굳 강추합니다
1,5,2018년 11월 11일, 넘재밌어요 시간가는줄 모르겠어요
2,5,2018년 11월 25일, 꿀잼!
3,4,2018년 12월 1일, 머리를써야함.
4,5,2018년 11월 12일, Good quality
5,5,2018년 11월 25일, 짱짱!!
6,5,2018년 11월 25일, 굿
7,5,2018년 9월 22일," 클루가 넘 하고 싶어서 혹시나 하고 받았는데, 넘 만족스러워요! 기본 테마만 있어도 충분해서 굳이 유료 테마는 사지 않았어요. 다만 터치가 잘 안 먹는 느낌? 그거 빼면 다 좋아요!"
8,5,2018년 8월 25일," 영어라도 클루 룰 알면 즐겁게 할 수 있지만 어플 자체가 유료인데 인앱결제가 조금 센 가격임 그렇다고 인앱결제 강요하는게 아니라 캐릭터, 테마가 늘어나는거라서 기본만 있어도 충분히 좋은 게임"
9,1,2018년 9월 5일, 한글패치도 안되있어서 하기 힘들고 뭐가뭔지.. 그리고 유료겜인데 안에서도 결제해야 다 할수있고 별로에요
,1,2018년 11월 23일, 시작할려면 터치를하라고 나오면서 터치가 안되가지고 게임을 시작할 수가 없고 다른 부분들도 터치가 안되서 오류인 줄 알고 삭제했다가 다시 깔았는데도 똑같습니다.
0,1,2018년 12월 1일, 나갔다가 들어와도 안되고 휴대폰을 껐다 켜도 안되요ㅠㅠㅠㅠ 왜 이러는거죠?? 모든곳을 다 터치해봐도 시작이 안되요ㅠㅠㅠ
1,1,2018년 11월 28일, 아닛 세상에!터치도 안되고 자꾸 이상한 화면만 뜨고...아니 진짜 속상해요ㅠㅠ.
2,1,2018년 12월 1일, 아니 눌러져여지하든말든하지 일 안하냐? 회사만해라 너네앱 지워 고객이 장난같나
3,1,2018년 11월 24일, 뭐가 눌러져야 하든 말든 하지 처 되지도 않고 뭘하라는거야ㅋㅋㅋㅋㅋㅋ
4,1,2018년 11월 23일, 시작이 되야 하지 터치도 안되고 어쩌란건지 ㅋㅋ
5,1,2018년 12월 2일, 색맹은 게임 못하는 망할 게임
6,1,2018년 12월 4일, 광고를 적당히 넣어야 하든지 말든지 하지 ㅋㅋ 돈 떨어졌냐
7,1,2018년 11월 27일, 터치를 해야지 게임을 하던말든 하는데 터치가 안되면 그냥 게임하지 말라는거 아닌가요? 다시 깔아도 터치는 안되요
8,1,2018년 11월 26일, 시작이 안되잖아
9,1,2018년 12월 1일, 조종이 되질 않아
,4,2018년 11월 25일," 제가 제일 좋아하는 게임이고 다 좋은데 왜 다이아 지원 광고에 나온 게임 해서 다이아 받기 조건 충족했는데도 다이아 안들어옵니까? 1개, 2개짜리 작은것은 바로 바로 주면서 큰건은 곧 들어온다고 뜨기만 하고 절대 안들어오네요. 제대로 꾸며보겠다고 광고보고 다른게임까지 해서 시간낭비까지 했는데..어서 넣어주세요."
0,5,2018년 10월 3일, 좋아요
1,3,2018년 9월 7일," 여기에 리뷰 남기면 보시기는 하는건가요? 다이아몬드 얻으려고 게임 설치하고 실행했는데 안 들어오고, 설문조사도 545개 주는거 했는데 안주네요...뭐죠?"
2,1,2018년 7월 17일," I bought a starter pack but it didn't work. the payment has been made. 
결제만되고 날라갔습니다. 허공에 돈날렸네요. 빠른 확인부탁합니다."
3,1,2018년 6월 7일, 왜 연결이 안되는거죠?인테넷연결 멀쩡한데?
4,1,2018년 6월 7일, 연결안됨.
5,3,2018년 6월 3일," 와이파이 멀쩡히 잘 연결돼있는데 접속할때 자꾸 인터넷 연결에 문제있다고 하고 접속하고나서도 Inbox 들어가보면 눌러도 창도 안뜨고 앱 
오류난것 같은데요;; 해결 좀 해주세요"
6,5,2018년 5월 9일, It's very good game~
7,4,2018년 4월 22일, 원래 게임 잘 안하는데 돈쓰기는 처음ㅠㅠㅎㅎ 현실감있는 그래픽과 성취감에 중독성 인정!
8,5,2018년 4월 17일, perfect! So addictive
9,4,2018년 4월 17일," 와..정말 돈 잡아먹는 귀신이네요..ㅜㅜㅜ 평점4.0을 넘기고 가구들을 얻기위해서는 돈을 안쓰고는 게임이 안되는군요... 데일리 
다이아몬드가 너무 작다고 생각됩니다.."
,4,2018년 10월 21일, 이전 버전용
0,5,2018년 5월 12일, 이겨서좋다
1,1,2017년 12월 15일, I want korean version!!!
2,1,2017년 4월 21일, 왜지게만들어이씨
3,1,2016년 12월 21일,체커 이거 얼래 채커 뒤로 나만 못가고 상대방은 왜 가게했냐
4,5,2016년 8월 20일,영국친구가 소개시켜줫어요. 진짜 재밌네요.
5,1,2016년 8월 6일, 영어을  한글로  바꿔요  읽기가 어렵다
,5,2018년 10월 19일, 조작감 구데기임 용암에 안빠지려고 몇번을 죽었는지.... 그래도 5점 주는 이유는 2개의 던전에서만 용암에 빠지는 부분이 있고 나머지는 조작이 세밀하게 필요한 부분이 없음. 용암에 빠지는 부분이 그리 길지도 않기에 나름 지루하지 않게 할만함. 플레이시간은 1시간에서 2시간 사이로 짧지만 세일할때 사면 그리 비싼편은 아님. 그래픽 말할거 없이 좋고 참신한 게임성. 스토리는 별로지만 이게임은 스토리 보고 하는게 아니라는 점.. 결론은 돈 많으면 스팀에서 사서 플레이하세요.
0,1,2018년 10월 14일, 조작이 불편하고 세이브포인트가 악의적으로 배치되어있음 더군다나 플레이타임을 낭비시키는 느린이동속도또한 마음에 안듬
1,5,2018년 6월 22일, 재밌습니다 플레이 타임은 길진 않고 초반엔 조작감이 안 좋아서 짜증났는데 하트 생긴 후부턴 할만해요
2,1,2018년 6월 26일," 조작감 시망. 회오리 바람, 파이어 볼 피하고 싶은데 캐릭은 계속 걸어만 다님. 양반이여? 게임 제목 바꿔라 Evoland->씹선비랜드."
3,1,2018년 10월 19일, 아직 진행한지 얼마 안됐는데 에러 #1009 탭투 클로즈 뜨며 누르면 꺼지네요 로드후 다시 해도 계속 꺼지고 할수가없네요
4,1,2018년 10월 11일, 조작감이 개망 할인한 천원도 아까움 피씨판 있다는데 피씨판 추천
5,5,2018년 6월 15일," 이번에 세일할 때 사게 되었는데 게임에 필요한 요소들을 보물상자를 먹으면서 게임의 발전된 순서대로 추가되는 것이 참신했다. 다만 
후반부에 턴제RPG가 나온 뒤부터 랜덤인카운터로 몬스터들이 나와서 지루해지는 구간에 뻔한 스토리가 아쉬웠다. 플레이타임은 3시간정도로 
길지 않았다."
6,1,2018년 6월 15일, 로딩안되서 삭제했더니 게임 세이브가 다사라졌네요 환불바랍니다ㅡㅡ
7,3,2018년 6월 16일, 조작개극혐......나노컨트롤해야함 화딱지나서 꺼버림
8,4,2018년 6월 18일, 조이스틱은 좋은 선택이 아니었던 것 같습니다.
9,1,2018년 6월 18일, 조작감 진짜 말로 설명할수가 없다
,5,2018년 4월 8일, 진짜 이건돈을내도 후회안해요 진짜로 진짜로 이거 너무재미있어요 진짜 추천 짱짱 진짜 이거 어쩌다가 재미있을것 같아서 부모늠 졸라서 샀는데 후회안해요 진짜 부모님도 잘샀네~이러고 오빠도 부모님께 졸라서 샀는데 너무 재미있어요 이거 진짜 추천드려요
0,5,2018년 5월 13일, 실제하고 룰이 조금 다른거 같지만 재밌습니다.
1,5,2018년 7월 2일, I wish there was option for selecting long game and short game
2,5,2018년 4월 29일, JACKANOPE! code available?
3,5,2017년 12월 29일, 튜토리얼조차 거의 필요없을정도로 쉽고 재밋음 영어도 필요없음 눈치 운 블러핑 카운팅이 들어간 폭탄돌리기 게임 슬랩이 적혀있는 횟수만큼 상대턴만드는 카드 그외엔 딱보면 뭔지알거임
4,5,2018년 3월 6일, fun filled explodin kitties! hope it's future has some leveling or achievement aspects
5,5,2018년 2월 14일, Great game to play with great people.
6,5,2017년 9월 8일, 간단하고 재밌는듯
7,5,2017년 5월 5일, 핵.꿀.잼
8,5,2017년 3월 8일, 베스트Best
9,5,2016년 7월 7일,중학교영어만하면 금방익힙니다 꿀잼 보드게임입니다 오직온라인만가능
,5,2018년 8월 10일," 처음 다운로드 한다음에 현질을 했습니다 그리고 다시 환불햇는데 현질한금액을 받지 못했습니다 그래서 다시한번 돈내고 깔아봤더니 
저장파일은없고 환불도 할수 없습니다 환불 부탁드립니다"
0,1,2018년 8월 17일, 악성코드 검사된다며 디바이스 보호앱이 삭제하라고 하네요;; 설치하면 계속 삭제하라 하는데 게임을 어찌해요.. 환불해주세요...
1,5,2018년 7월 28일," 안녕하새요 이개임을하다가 저장을못하고 폰이초기화가돼서 다시설치하니깐 기록이다 초기화대서 처음부터하라고 하는댜 재가 
여기다가47,630원을 현질했슴니다 어떻개 해야돼나요 죄송하지만 개임안애소 기록 을 돌려주시던지 돈을 돌려주시면 재가 다시현질을 
하던지하갯슴니다 부탁드림니다 못밋갯스시면 확인햐보고 해주셔도됌니다 부탁드리갯슴니다"
2,5,2018년 10월 24일, 제작자님 다좋은데 사람이 기계에세 올라타고 내리고 버튼이 있으면 좋겠네요 그리고 차도에 자동차즘 다니게 해주세요
3,2,2018년 8월 19일, 코인 구매 하려고 했는데 잔액이 없다고 뜨네요 분명 잔액 넣었는데..
4,5,2018년 11월 8일, 결제했는데코인이안들어와요획인해주세요
5,5,2018년 7월 11일, Get rid of the LEG when you make a Bluetooth Multi please
6,4,2018년 11월 6일, 임업에서 더이상 나무가 없어요... 나무는 언제 또 생기나요?
7,1,2018년 10월 18일, 악성코드라고 하며 삭제하라고 하는데 빠른 시일내 환불해주세요
8,1,2018년 9월 20일, 결제했는데 코인 적용이 안되네요 환불해주세요
9,4,2018년 11월 19일, 파밍 시뮬레이터 나무산속 들어갈수있게 개발해주세여
,5,2018년 12월 4일," 현금▷카지▷노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버37841이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요"
0,5,2018년 12월 3일, 멈 재미있고 나 숨은 그림 찾기 돼개 잘함
1,5,2018년 12월 3일, 다좋은데 사진이 너무 작음
2,5,2018년 11월 28일, 재밌다. 재밌다.
3,4,2018년 12월 4일, Gghujjjjb
4,5,2018년 12월 3일," 현금카▷지노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버813이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요"
5,1,2018년 11월 23일, 아니ㅋ 지하철에서 폰겜하고있는데 갑자기 사운드로 광고나오면 어쩌자는겁니까...?하..ㅋ 광고보기싫어서 다운하고 방치햇더니 또 나오고ㅋㅋ 하..이상한 광고 말고 제대로 된 광고로 광고하세요
6,1,2018년 12월 3일, 이게 잼있다는사람 뭐지? 해보니깐 틀린그림찾기 한판때리고 광고하나보고.. 와..광고보라고 만든겜인가ㅡㅡ 그냥 삭제누를려다가 쓴다 정도껏 광고때려야지 개짱나네
7,5,2018년 11월 21일, 돈을 모아서 어디에 쓰는 건지 도저히 모르겠어요ㅠㅠㅠ 나머지는 정말 좋고 재밌어요ㅎㅎㅎ
8,1,2018년 12월 3일," 힌트를 써서 틀린곳을 알게 되었는데, 어디가 다른건지 모르겠어요."
9,4,2018년 11월 23일, 틀린그림찾기가 노래와 함께있어서 그런가 게임하면서 뭔가 스릴감있었어요
,5,2018년 12월 4일, 아이폰은 공 던지는게 빠르던데 아이폰이 아니여서 안빠른가? 제 친구는 아이폰인데 공 던지는게 빨라서 좋아보이는데 제 폰은 느려요
0,1,2018년 12월 4일, ㄱㄱㅜㄹ 잼
1,5,2018년 12월 1일, 졸잼
2,5,2018년 12월 3일, Uhhhhhhhhhhhhhh
3,5,2018년 11월 24일, 아직 초반이지만 단순하고 타격감이 좋네요
4,3,2018년 11월 20일, 너무 레벨이 높아지면서 빨간색이 너무 많이 생겨서 너무 어려워용
5,5,2018년 11월 21일, 심심할때 언제 어디서 가능해서 편리하고 재밌음
6,1,2018년 11월 30일, 광고가너무만아서하는데게빡침...난안함
7,5,2018년 11월 17일, It is really entertaining
8,5,2018년 11월 22일, This game is so easy! i love it and fun! It's so interesting!
9,2,2018년 11월 23일, 제미없어묘
,5,2015년 5월 13일,심장쫄깃 이야 점말 재밌네요 ㅎㅎ 이거 기분 탓인지 모르겠는데 배터리가 빨이달아서 더 심장 쫄깃하네요 아! 저요 이상한거 봤어요 거기 cam2B 에서 프레디 사진에서 프레디가 막 꺽여 있었어요
0,5,2015년 7월 27일,별 ☆☆☆☆☆ 이게임 공포라서 감툭튀는데...제밌네여~별☆☆☆☆☆개!!!베터리 1퍼에서 6시 ㅋㅋㅋ----수정----   프레디 버그판 해봤는데 1버그판 사기. 기능 : 인형들 위치 알 려 주 고... 배터리 무 제 한!(프레디 버그판 2.3 도있음  프레디 2 랑 3 버그판 은 별3개로 다 깨져있음 하고싶으면...네이버에서 깔아보삼)
1,5,2015년 4월 3일,다 재미있는데.... 갑자기 게임시작할때마다 게임이 에러뜨면서 꺼져요. 다 깨서 별 세개 얻었었는데 삭제했다 다시깔아보고 하니까 데이터도 사라지고.... 제발좀 고쳐주세요...
