,name,review,lda-result-cosine,lda-result-euclide
51,Block Puzzle, 킬링타임용으로 좋음,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
52,Block Puzzle, Good,"('Angry Birds Rio',)","('Angry Birds Rio',)"
53,Block Puzzle, 그럭저럭합니다,"('Age of Civilizations II',)","('Age of Civilizations II',)"
54,Block Puzzle, 중독성이 강하네요.ㅋㅋ,"('Angry Birds Rio',)","('Angry Birds Rio',)"
55,Block Puzzle, 무료할 때 딱이네요,"('Block Puzzle',)","('Block Puzzle',)"
56,Block Puzzle, 시간 날아가요,"('Age of Civilizations II',)","('Age of Civilizations II',)"
57,Block Puzzle, Good,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
58,Block Puzzle, good,"('Block Puzzle',)","('Block Puzzle',)"
59,Block Puzzle, 잼짱,"('Color Road',)","('Color Road',)"
60,Bloons TD 5, 풍선 타워디펜스는 플레이 안 해봐도 5점,"('Bloons TD 5',)","('Bloons TD 5',)"
61,Bloons TD 5, 굿굿울,"('Block Puzzle',)","('Block Puzzle',)"
62,Bloons TD 5, 후반 가면 할 거 없는....,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
63,Bloons TD 5, 꿀 잼 꿀 잼,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
64,Bloons TD 5," 저장하는 방법, 불로 오는 방법 모르시는 분들은 알려드릴게요. 안되면.. 욕하진.. 말아주세요. 1. 설정에 들어간다 2. 구름모양에 아이콘을 클릭한다 3. 클릭한 다음 왼쪽에 있는 파일을 오른쪽으로 드래그한다 4. 저장을 덮여씌우시겠습니까? 라고 뜬다 여기서 예를 누른다 파일을 불로 오는 방법 1. 설정에 들어간다 2. 구름모양에 아이콘을 클릭한다 3. 클릭한 다음 오른쪽에 있는 파일을 왼쪽으로 드래그한다 4. 저장 정보를 덮여씌우시겠습니까? 라고 뜬다 여기서 예를 누른다 저도 최대한 적은 거예요 참고하세요!","('Block Puzzle',)","('Block Puzzle',)"
65,Bloons TD 5," 플래시 기반이던 BTD4 때부터 즐겨왔는데, 6 출시하고도 5를 계속 업데이트해주는 게 맘에 듭니다 ㅎㅎ 지금은 6을 집중적으로 하지만, 5편이야말로 BTD 시리즈의 완전체로, 처음 접하시는 분들은 6보다는 5를 권장해드리고 싶군요 :)","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
66,Bloons TD 5, 이거 100% 할인할 때 무료로 샀는데 정말 재밌어요 이 게임이 제가 했던 게임 중에서 1~2위인 거 같아요 벌써 TD6이 출시됐네요 살 수 있으면 살게요,"('Bubble Shooter',)","('Bubble Shooter',)"
67,Bloons TD 5, 협동 전매청이 잘 안 잡혀요 왜 그런지 모르겠어요.. 답변 부탁드립니다!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
68,Bloons TD 5, 클라우드 저장이 안 돼요 구름 아이콘이 활성화가 안 되어 있어요,"('Bubble Shooter',)","('Bubble Shooter',)"
69,Bloons TD 5, 지우면 하던 거 날라 가 연수정 좀,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
70,Bubble Shooter, 할 거 없을 때마다 하면 좋아요!:D 제가 단계를 다 깼는데 업데이트는 언제 되나요??,"('Angry Birds Rio',)","('Angry Birds Rio',)"
71,Bubble Shooter, 업데이트가 너무 느려요 ㅠㅠ,"('Angry Birds Classic',)","('Angry Birds Classic',)"
72,Bubble Shooter, 2970판 다음 업데이트 부탁드려요 ㅠ ㅠ ㅠ,"('Angry Birds Classic',)","('Angry Birds Classic',)"
73,Bubble Shooter, 해보니까 정말 재미있어요!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
74,Bubble Shooter, 최 교,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
75,Bubble Shooter, 재미있네요,"('Cluedo',)","('Cluedo',)"
76,Bubble Shooter, 좋아요,"('Bubble Shooter',)","('Bubble Shooter',)"
77,Bubble Shooter, 좋아요,"('Age of Civilizations II',)","('Age of Civilizations II',)"
78,Bubble Shooter, 시간 보내기 좋아요,"('Bubble Shooter',)","('Bubble Shooter',)"
79,Bubble Shooter, 광고만 좀 줄여주삼..,"('Age of Civilizations II',)","('Age of Civilizations II',)"
80,Civilization Revolution 2,최고의 게임 그 어떠한 핸드폰 게임보다 강력하게 재밌고 돈이 전혀 아깝지 않다,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
81,Civilization Revolution 2, 신작을 내주던지 업데이트를 해주던지요 ㅠㅠ 이렇게 재밌게 만들어놓고 방치하다니 거 너무한 거 아니요 ㅠ,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
82,Civilization Revolution 2, 죄송합니다ㅜㅜ 정말 기대하고 깔았는데 렉이 엄청 심하게 걸려서 2시간 만에 주문취소를 결정하게 되었습니다.. 환불 요청이요..,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
83,Civilization Revolution 2,문명하셨습니다. 월요일에 다운로드해 정신을 차리니 목요일. 스팀 문명 5 구매 후 다운로드 중,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
84,Civilization Revolution 2, PC 게임을 그대로 옮겨왔네요. 게다가 휴대폰으로 언제 어디서나 할 수 있다니 짱입니다,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
85,Civilization Revolution 2," 여전히 재미있는 게임이지만, 최근 폰들에 맞게 최적화 업데이트 좀 되면 좋겠습니다.","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
86,Civilization Revolution 2,최고네요. 재작년에 아이폰에서 하다가 플레이스토어에서는 없어서 아쉬웠는데 어느새 나와있네요.,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
87,Civilization Revolution 2,Plz I cant play because of my phone's poor AP process. I wanna refund. Thx,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
88,Civilization Revolution 2,최고 어린이날 때 말해 선물로 사줌 최고,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
89,Civilization Revolution 2,ㅋㅋ 시간 때우기 좋군요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
90,Cluedo, 굳굳 강추합니다,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
91,Cluedo, 너무 재밌어요 시간 가는 줄 모르겠어요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
92,Cluedo, 꿀 잼!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
93,Cluedo, Good quality,"('Bloons TD 5',)","('Bloons TD 5',)"
94,Cluedo, 짱짱!!,"('Bubble Shooter',)","('Bubble Shooter',)"
95,Cluedo, 굿,"('Age of Civilizations II',)","('Age of Civilizations II',)"
96,Cluedo," 클루가 너무 하고 싶어서 혹시나 하고 받았는데, 너무 만족스러워요! 기본 테마만 있어도 충분해서 굳이 유료 테마는 사지 않았어요. 다만 터치가 잘 안 먹는 느낌? 그거 빼면 다 좋아요!","('Cluedo',)","('Cluedo',)"
97,Cluedo," 영어라도 클루 룰 알면 즐겁게 할 수 있지만 어플 자체가 유료인데 인앱결제가 조금 센 가격임 그렇다고 인앱결제 강요하는 게 아니라 캐릭터, 테마가 늘어나는 거라서 기본만 있어도 충분히 좋은 게임","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
98,Cluedo, 너무 재밌어요! 사실 처음엔 무슨 게임인가 했고 따로 검색해서 룰을 읽어봐도 이해가 가다 안가다 했는데 턴을 계속 돌며 체크되는 걸 보니 감이 오더라고요! 영어여도 크게 불편함 없이 룰만 알면 즐겁게 플레이할 수 있어서 하면 할수록 재밌네요! 하지만 역시 한국어로도 번역이 되어있다면 사소한 것도 읽어도 보고 처음부터 매끄럽게 즐길 수 있을 것 같아 아쉬웠어요. 번역되면 좋겠네요!,"('Age of Civilizations II',)","('Age of Civilizations II',)"
99,Cluedo," Wow I love the board game but this digital version of the game provides you with more magic to it. Graphic is great, the thrill is heightened, brain work well-deserved, and the music and movement are what makes the gsme come alive!","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
100,Color Road, 그냥 최고입니다!!!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
101,Color Road, 이 게임을 만들어 주신 분들께 감사합니다.,"('Age of Civilizations II',)","('Age of Civilizations II',)"
102,Color Road, This is a great game,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
103,Color Road, 정말 재미있음,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
104,Color Road, 어렴 웅대 재밌다,"('Block Puzzle',)","('Block Puzzle',)"
105,Color Road, 재미있는 게임,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
106,Color Road, 어려운데 재미있어요^^,"('Bloons TD 5',)","('Bloons TD 5',)"
107,Color Road, Fun!!,"('Angry Birds Classic',)","('Angry Birds Classic',)"
108,Color Road, 굿,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
109,Color Road, 좋아요,"('Age of Civilizations II',)","('Age of Civilizations II',)"
110,Design Home, 좋아요,"('Bubble Shooter',)","('Bubble Shooter',)"
111,Design Home, It's very good game~,"('Age of Civilizations II',)","('Age of Civilizations II',)"
112,Design Home, perfect! So addictive,"('Age of Civilizations II',)","('Age of Civilizations II',)"
113,Design Home, It's fantastic.,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
114,Design Home, So much fun but wish there are more challenges to enter.,"('Bloons TD 5',)","('Bloons TD 5',)"
115,Design Home, 레알 밥도둑 정말 좋습니다,"('Angry Birds Classic',)","('Angry Birds Classic',)"
116,Design Home, 꿀 잼,"('Age of Civilizations II',)","('Age of Civilizations II',)"
117,Design Home, 짱제미있음,"('Angry Birds Classic',)","('Angry Birds Classic',)"
118,Design Home, 꿀 잼,"('Block Puzzle',)","('Block Puzzle',)"
119,Design Home, 😇😇🤔🤔🤔🤔🤔😇😇🤔,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
120,Draughts, 이겨서 좋다,"('Block Puzzle',)","('Block Puzzle',)"
121,Draughts,영국 친구가 소개해줬어요. 진짜 재밌네요.,"('Bloons TD 5',)","('Bloons TD 5',)"
122,Evoland, 재밌습니다 플레이 타임은 길진 않고 초반엔 조작감이 안 좋아서 짜증 났는데 하트 생긴 후부턴 할만해요,"('Age of Civilizations II',)","('Age of Civilizations II',)"
123,Evoland, 이번에 세일할 때 사게 되었는데 게임에 필요한 요소들을 보물상자를 먹으면서 게임의 발전된 순서대로 추가되는 것이 참신했다. 다만 후반부에 턴제 RPG가 나온 뒤부터 랜덤인 카운터로 몬스터들이 나와서 지루해지는 구간에 뻔한 스토리가 아쉬웠다. 플레이 타임은 3시간 정도로 길지 않았다.,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
124,Evoland, 굿,"('Bloons TD 5',)","('Bloons TD 5',)"
125,Evoland, 게임에 대한 역사 공부 되고 도트부터 3D 그래픽을 보여주는 방식이 신선하고 흥미로웠다.,"('Bubble Shooter',)","('Bubble Shooter',)"
126,Evoland, 스팀은 2편도 있는 걸로 알고 있는데 모바일도 빨리 나왔으면 좋겠어요,"('Age of Civilizations II',)","('Age of Civilizations II',)"
127,Evoland, 돈 쓰길 잘했다,"('Bubble Shooter',)","('Bubble Shooter',)"
128,Evoland, 에보 랜드가 폰으로 나오다니 정말 최고입니다 가면 갈수록 그래픽이 올라가는 게임을 생각해내다니 에보 랜드 2 모바일화도 기대하겠습니다(근데 막히면 빡겜되는건 여전ㅋ),"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
129,Evoland,조작이 이상한 게 아니라 님들이 못하는 겁니다 무난하게 별아 모으고 카드 다 모으고 보스도 깼습니다,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
130,Evoland,별 모으기 겁나 힘드네. 하지만 난 그런 빡겜이 좋아. 플레이할 맛 나잖아?,"('Block Puzzle',)","('Block Puzzle',)"
131,Evoland,100% 클리어하려면 업적 외에 숨은 도전과제 전부 깨야 하네요.,"('Cluedo',)","('Cluedo',)"
132,Exploding Kittens® - Official, 실제하고 룰이 조금 다른 거 같지만 재밌습니다.,"('Angry Birds Rio',)","('Angry Birds Rio',)"
133,Exploding Kittens® - Official, I wish there was option for selecting long game and short game,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
134,Exploding Kittens® - Official, JACKANOPE! code available?,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
135,Exploding Kittens® - Official, 튜토리얼조차 거의 필요 없을 정도로 쉽고 재밌음 영어도 필요 없음 눈치 운 블러프 카운팅이 들어간 폭탄 돌리기 게임 슬랩이 적혀있는 횟수만큼 상대 턴 만드는 카드 그 외엔 딱 보면 뭔지 알 거임,"('Bloons TD 5',)","('Bloons TD 5',)"
136,Exploding Kittens® - Official, fun filled explodin kitties! hope it's future has some leveling or achievement aspects,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
137,Exploding Kittens® - Official, Great game to play with great people.,"('Civilization Revolution 2',)","('Civilization Revolution 2',)"
138,Exploding Kittens® - Official, 간단하고 재밌는 듯,"('Age of Civilizations II',)","('Age of Civilizations II',)"
139,Exploding Kittens® - Official, 핵. 꿀. 잼,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
140,Exploding Kittens® - Official, 베스트 Best,"('Cluedo',)","('Cluedo',)"
141,Exploding Kittens® - Official,중학교 영어만 하면 금방 익힙니다 꿀 잼 보드게임입니다 오직 온라인만 가능,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
142,Farming Simulator 18," 안녕하세요 이 게임을 하다가 저장을 못하고 폰이 초기화가 돼서 다시 설치하니깐 기록이다 초기화 대서 처음부터 하라고 하는다 재가 여기다가 47,630원을 현질했슴니다 어떻게 해야 되나요 죄송하지만 개임 안 애소 기록을 돌려주시던지 돈을 돌려주시면 재가 다시 현질을 하던 지하 갰습니다 부탁드립니다 못밋갯스시면 확인햐보고 해주셔도됌니다 부탁드립 갰습니다","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
143,Farming Simulator 18, 제작자님 다 좋은데 사람이 기계에 세 올라타고 내리고 버튼이 있으면 좋겠네요 그리고 차도에 자동차즘 다니게 해주세요,"('Age of Civilizations II',)","('Age of Civilizations II',)"
144,Farming Simulator 18, 결제했는데 코인이 안 들어와요 획 인해주세요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
145,Farming Simulator 18, Get rid of the LEG when you make a Bluetooth Multi please,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
146,Farming Simulator 18, 간단하면서 재밌네요 Good game thx XD!!,"('Angry Birds Classic',)","('Angry Birds Classic',)"
147,Farming Simulator 18, good,"('Bubble Shooter',)","('Bubble Shooter',)"
148,Farming Simulator 18, 그 청소 돈 안 들개 해주세요,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
149,Farming Simulator 18, 너무 좋고 재미있어요!!!!,"('Age of Civilizations II',)","('Age of Civilizations II',)"
150,Farming Simulator 18, Pc 하고 연동이 안 되나요?,"('Age of Civilizations II',)","('Age of Civilizations II',)"
151,Farming Simulator 18, 제가.. 리뷰는  잘 안 남기는데.. 5900원이라서 샀는데 ..세금이 590원이나 나가네요.. 암튼 샀으니 재미나게 해볼게요^^,"('Angry Birds Rio',)","('Angry Birds Rio',)"
152,Find The Differences - The Detective, 멈 재미있고 나 숨은 그림 찾기 돼 개 잘함,"('Cluedo',)","('Cluedo',)"
153,Find The Differences - The Detective, 다 좋은데 사진이 너무 작음,"('Cluedo',)","('Cluedo',)"
154,Find The Differences - The Detective, 재밌다. 재밌다.,"(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
155,Find The Differences - The Detective," 현금카▷지노 🔥 M Χ M 2 １ , ℂ 0 'Ⅿ 🔥 전에 업데이트에 매치 설정이 바꾸셨길래 뭐지? 하고 넘겼는데 제가 실버 813이거든요. 그런데 실버인데 매치를 하면 랭크가 높은 사람들이 많이 서버에 들어와서 게임이 너무 어려워요. 진짜 다른 건 다 좋은데 랭크가 같은 사람들이랑 하는 게 좋아요. 그래서 낮은 랭크인데 핵을 쓰는 유저들이 많아요","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
156,Find The Differences - The Detective, 돈을 모아서 어디에 쓰는 건지 도저히 모르겠어요ㅠㅠㅠ 나머지는 정말 좋고 재밌어요ㅎㅎㅎ,"('Bloons TD 5',)","('Bloons TD 5',)"
157,Find The Differences - The Detective, 게임 돈 어디에 쓰는 걸까요? 30분 플레이해봤는데 아직은 난이도도 적당하고 재밌어요,"('Bubble Shooter',)","('Bubble Shooter',)"
158,Find The Differences - The Detective, 단계별 이상 올라가면 점점 복잡한 양상을 보인다,"('Block Puzzle',)","('Block Puzzle',)"
159,Find The Differences - The Detective, ㅋㄴㆍㅡㅈㅐㅁ,"('Block Puzzle',)","('Block Puzzle',)"
160,Find The Differences - The Detective, 이런 틀림 그림 찾기는 너무나 좋아요 그리고 타임을 3분 59초는 해주세요,"('Age of Civilizations II',)","('Age of Civilizations II',)"
161,Find The Differences - The Detective, 재밌는데요? 숨은 그림 찾기인데 독특하네요~,"('Angry Birds Rio',)","('Angry Birds Rio',)"
162,Fire Balls 3D, 졸잼,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
163,Fire Balls 3D, Uhhhhhhhhhhhhhh,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
164,Fire Balls 3D, 아직 초반이지만 단순하고 타격감이 좋네요,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
165,Fire Balls 3D, 심심할 때 언제 어디서 가능해서 편리하고 재밌음,"('Age of Civilizations II',)","('Age of Civilizations II',)"
166,Fire Balls 3D, It is really entertaining,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
167,Fire Balls 3D, This game is so easy! i love it and fun! It's so interesting!,"('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
168,Fire Balls 3D, 짱! 진짜 재미있어요! 심심할 때 짱!!,"('Bubble Shooter',)","('Bubble Shooter',)"
169,Fire Balls 3D, GG,"('Age of Civilizations II',)","('Age of Civilizations II',)"
