,ind,name,review,lda,lda-result-cosine,lda-result-euclide
35,844.0,Angry Birds Rio, 최고의 추억 팔이(그래픽이 바뀌었군...),"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
36,845.0,Angry Birds Rio, Good,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
37,846.0,Angry Birds Rio, 크 언제 해도 재미있는 추억의 게임 앵그리버드 다께서 스타워즈 해보려고요 ᄏᄏᄏ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
38,847.0,Angry Birds Rio, 서정하가 많이 좋아했던 앵그리버드,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
39,848.0,Angry Birds Rio, 이세이  님  어이없음. 난  광고  하니도  않나 오더    만. 님  이  게임을  못해서  그러겠지. 난  재미만  있음.ㅋ   다른  종류  게임들이  많아서  좋음. 정말  짱짱  최고의  게임.!,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
40,1542.0,Assassin's Creed Rebellion, 오래간만에 핸드폰에 게임 깔고 지우지 않고 해나갑니다! 지루하지 않고 재미있어요!! ㅋㅋㅋ,"[0.10811497, 0.17138182, 0.14672357, 0.10102538, 0.1958784, 0.16194758, 0.114928275]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
41,1543.0,Assassin's Creed Rebellion, 턴제에 아기자기한 어크라니 참신하네요,"[0.10811514, 0.15116194, 0.14672375, 0.10102553, 0.21609747, 0.16194776, 0.114928424]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
42,1544.0,Assassin's Creed Rebellion, 아기자기하면서도 케릭 육성과 전략 턴 게임의 특성을 잘 표현해서 즐길 거리가 많은 게임입니다.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bubble Shooter',)","('Bubble Shooter',)"
43,1545.0,Assassin's Creed Rebellion, 재미있고 쉬우면서 계속하게됨ㅋㅋ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
44,1546.0,Assassin's Creed Rebellion, 나름 원작 느낌을 살렸네요 본부 메인 노래는 에지오 패밀리 스스 ost 넣어서 어쌔신 크리드 2느낌이네요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
45,1547.0,Assassin's Creed Rebellion, 한국 서버 공개 커뮤니티 하나 운영해주세요,"[0.09114655, 0.123356044, 0.26017877, 0.10272415, 0.15961668, 0.16711426, 0.09586352]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
46,1548.0,Assassin's Creed Rebellion, Good Game!,"[0.113526784, 0.1392764, 0.14505303, 0.08927254, 0.27166346, 0.14078252, 0.10042529]","('Angry Birds Classic',)","('Angry Birds Classic',)"
47,1549.0,Assassin's Creed Rebellion, 제미이어요,"[0.22238074, 0.14298297, 0.1566328, 0.07757557, 0.1911003, 0.1217666, 0.08756099]","('Cluedo',)","('Cluedo',)"
48,1550.0,Assassin's Creed Rebellion, So lovely~,"[0.12734213, 0.11127567, 0.1399681, 0.09060788, 0.27976957, 0.16549046, 0.085546225]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
49,1551.0,Assassin's Creed Rebellion, 젬있네요 ㅋㅋㅋㅋ,"[0.12654959, 0.14751893, 0.1636727, 0.09964594, 0.191061, 0.15860985, 0.112941995]","('Angry Birds Classic',)","('Angry Birds Classic',)"
50,1989.0,Block Puzzle, 짱!,"[0.11445163, 0.13481088, 0.13085394, 0.090099595, 0.24679351, 0.16246074, 0.12052972]","('Age of Civilizations II',)","('Age of Civilizations II',)"
51,1990.0,Block Puzzle, 킬링타임용으로 좋음,"[0.08870727, 0.13814339, 0.13593766, 0.17346999, 0.17482924, 0.16248651, 0.12642597]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
52,1991.0,Block Puzzle, Good,"[0.099702016, 0.14814432, 0.17143805, 0.09308377, 0.19670317, 0.18552084, 0.105407834]","('Angry Birds Rio',)","('Angry Birds Rio',)"
53,1992.0,Block Puzzle, 그럭저럭합니다,"[0.097759664, 0.14144272, 0.14333828, 0.09184289, 0.16085508, 0.19062288, 0.17413855]","('Age of Civilizations II',)","('Age of Civilizations II',)"
54,1993.0,Block Puzzle, 중독성이 강하네요.ㅋㅋ,"[0.09645106, 0.1348352, 0.1308844, 0.16228214, 0.19275644, 0.18026586, 0.102524936]","('Angry Birds Rio',)","('Angry Birds Rio',)"
55,1994.0,Block Puzzle, 무료할 때 딱이네요,"[0.093595006, 0.12966883, 0.14377682, 0.105052024, 0.20264834, 0.22604811, 0.09921087]","('Block Puzzle',)","('Block Puzzle',)"
56,1995.0,Block Puzzle, 시간 날아가요,"[0.122958556, 0.13189891, 0.13236745, 0.094606966, 0.17164879, 0.14848483, 0.19803451]","('Age of Civilizations II',)","('Age of Civilizations II',)"
57,1996.0,Block Puzzle, Good,"[0.101991944, 0.14256808, 0.1956012, 0.113934435, 0.18473993, 0.15275285, 0.108411565]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
58,1997.0,Block Puzzle, good,"[0.1052953, 0.16268839, 0.14130887, 0.117840834, 0.18667638, 0.1748174, 0.111372836]","('Block Puzzle',)","('Block Puzzle',)"
59,1998.0,Block Puzzle, 잼짱,"[0.10811532, 0.15116209, 0.16694158, 0.10102571, 0.19587876, 0.16194797, 0.114928596]","('Color Road',)","('Color Road',)"
60,2123.0,Bloons TD 5, 풍선 타워디펜스는 플레이 안 해봐도 5점,"[0.10951382, 0.21527715, 0.14279716, 0.10408004, 0.1914414, 0.13845225, 0.09843819]","('Bloons TD 5',)","('Bloons TD 5',)"
61,2124.0,Bloons TD 5, 굿굿울,"[0.10811493, 0.15116176, 0.14672352, 0.101025335, 0.21609873, 0.16194752, 0.11492823]","('Block Puzzle',)","('Block Puzzle',)"
62,2125.0,Bloons TD 5, 후반 가면 할 거 없는....,"[0.120459765, 0.14924969, 0.14052238, 0.11496665, 0.20511313, 0.15635906, 0.11332934]","('Civilization Revolution 2',)","('Civilization Revolution 2',)"
63,2126.0,Bloons TD 5, 꿀 잼 꿀 잼,"[0.10391295, 0.14528653, 0.14102088, 0.097098894, 0.24656618, 0.15565316, 0.1104614]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
64,2127.0,Bloons TD 5," 저장하는 방법, 불로 오는 방법 모르시는 분들은 알려드릴게요. 안되면.. 욕하진.. 말아주세요. 1. 설정에 들어간다 2. 구름모양에 아이콘을 클릭한다 3. 클릭한 다음 왼쪽에 있는 파일을 오른쪽으로 드래그한다 4. 저장을 덮여씌우시겠습니까? 라고 뜬다 여기서 예를 누른다 파일을 불로 오는 방법 1. 설정에 들어간다 2. 구름모양에 아이콘을 클릭한다 3. 클릭한 다음 오른쪽에 있는 파일을 왼쪽으로 드래그한다 4. 저장 정보를 덮여씌우시겠습니까? 라고 뜬다 여기서 예를 누른다 저도 최대한 적은 거예요 참고하세요!","[0.10811729, 0.15116376, 0.14672603, 0.10102759, 0.21608472, 0.16195017, 0.114930436]","('Block Puzzle',)","('Block Puzzle',)"
65,2128.0,Bloons TD 5," 플래시 기반이던 BTD4 때부터 즐겨왔는데, 6 출시하고도 5를 계속 업데이트해주는 게 맘에 듭니다 ㅎㅎ 지금은 6을 집중적으로 하지만, 5편이야말로 BTD 시리즈의 완전체로, 처음 접하시는 분들은 6보다는 5를 권장해드리고 싶군요 :)","[0.09819208, 0.13728574, 0.151617, 0.09175325, 0.23297215, 0.16543767, 0.122742124]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
66,2129.0,Bloons TD 5, 이거 100% 할인할 때 무료로 샀는데 정말 재밌어요 이 게임이 제가 했던 게임 중에서 1~2위인 거 같아요 벌써 TD6이 출시됐네요 살 수 있으면 살게요,"[0.09819061, 0.13728449, 0.13325436, 0.09175185, 0.28805992, 0.14708066, 0.104378134]","('Bubble Shooter',)","('Bubble Shooter',)"
67,2130.0,Bloons TD 5, 협동 전매청이 잘 안 잡혀요 왜 그런지 모르겠어요.. 답변 부탁드립니다!,"[0.14010978, 0.14254987, 0.1383739, 0.114356786, 0.18471748, 0.17150015, 0.10839204]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
68,2131.0,Bloons TD 5, 클라우드 저장이 안 돼요 구름 아이콘이 활성화가 안 되어 있어요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Bubble Shooter',)","('Bubble Shooter',)"
69,2132.0,Bloons TD 5, 지우면 하던 거 날라 가 연수정 좀,"[0.092848636, 0.12605183, 0.14708307, 0.21049735, 0.18185136, 0.14394559, 0.0977222]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
70,2687.0,Bubble Shooter, 할 거 없을 때마다 하면 좋아요!:D 제가 단계를 다 깼는데 업데이트는 언제 되나요??,"[0.100029, 0.13985398, 0.15445594, 0.093469724, 0.2186248, 0.14983384, 0.14373271]","('Angry Birds Rio',)","('Angry Birds Rio',)"
71,2688.0,Bubble Shooter, 업데이트가 너무 느려요 ㅠㅠ,"[0.108115986, 0.15116265, 0.1669376, 0.10102635, 0.19587947, 0.16194873, 0.11492922]","('Angry Birds Classic',)","('Angry Birds Classic',)"
72,2689.0,Bubble Shooter, 2970판 다음 업데이트 부탁드려요 ㅠ ㅠ ㅠ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Angry Birds Classic',)","('Angry Birds Classic',)"
73,2690.0,Bubble Shooter, 해보니까 정말 재미있어요!,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
74,2691.0,Bubble Shooter, 최 교,"[0.14277011, 0.14528784, 0.14102252, 0.09710037, 0.20770146, 0.15565488, 0.11046284]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
75,2692.0,Bubble Shooter, 재미있네요,"[0.10811516, 0.17138068, 0.14672378, 0.10102556, 0.1958786, 0.16194779, 0.114928454]","('Cluedo',)","('Cluedo',)"
76,2693.0,Bubble Shooter, 좋아요,"[0.10597317, 0.14816667, 0.16362882, 0.099024035, 0.21181701, 0.15873894, 0.11265136]","('Bubble Shooter',)","('Bubble Shooter',)"
77,2694.0,Bubble Shooter, 좋아요,"[0.13950521, 0.14573713, 0.1415874, 0.097607456, 0.18883039, 0.1562488, 0.13048363]","('Age of Civilizations II',)","('Age of Civilizations II',)"
78,2695.0,Bubble Shooter, 시간 보내기 좋아요,"[0.12579268, 0.14816672, 0.16362879, 0.0990241, 0.19199727, 0.15873902, 0.11265142]","('Bubble Shooter',)","('Bubble Shooter',)"
79,2696.0,Bubble Shooter, 광고만 좀 줄여주삼..,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('Age of Civilizations II',)","('Age of Civilizations II',)"
80,2922.0,Civilization Revolution 2,최고의 게임 그 어떠한 핸드폰 게임보다 강력하게 재밌고 돈이 전혀 아깝지 않다,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
81,2923.0,Civilization Revolution 2, 신작을 내주던지 업데이트를 해주던지요 ㅠㅠ 이렇게 재밌게 만들어놓고 방치하다니 거 너무한 거 아니요 ㅠ,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
82,2924.0,Civilization Revolution 2, 죄송합니다ㅜㅜ 정말 기대하고 깔았는데 렉이 엄청 심하게 걸려서 2시간 만에 주문취소를 결정하게 되었습니다.. 환불 요청이요..,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
83,2925.0,Civilization Revolution 2,문명하셨습니다. 월요일에 다운로드해 정신을 차리니 목요일. 스팀 문명 5 구매 후 다운로드 중,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
84,2926.0,Civilization Revolution 2, PC 게임을 그대로 옮겨왔네요. 게다가 휴대폰으로 언제 어디서나 할 수 있다니 짱입니다,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
85,2927.0,Civilization Revolution 2," 여전히 재미있는 게임이지만, 최근 폰들에 맞게 최적화 업데이트 좀 되면 좋겠습니다.","[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
86,2928.0,Civilization Revolution 2,최고네요. 재작년에 아이폰에서 하다가 플레이스토어에서는 없어서 아쉬웠는데 어느새 나와있네요.,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
87,2929.0,Civilization Revolution 2,Plz I cant play because of my phone's poor AP process. I wanna refund. Thx,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
88,2930.0,Civilization Revolution 2,최고 어린이날 때 말해 선물로 사줌 최고,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
89,2931.0,Civilization Revolution 2,ㅋㅋ 시간 때우기 좋군요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
90,2945.0,Cluedo, 굳굳 강추합니다,"[0.09470996, 0.1324192, 0.2702339, 0.088499404, 0.17159136, 0.14186776, 0.10067842]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
91,2946.0,Cluedo, 너무 재밌어요 시간 가는 줄 모르겠어요,"[0.11034616, 0.1542814, 0.14975156, 0.103110254, 0.19992082, 0.16528974, 0.11730008]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
92,2947.0,Cluedo, 꿀 잼!,"[0.10405633, 0.16403951, 0.1409049, 0.09758294, 0.22733895, 0.15548566, 0.11059173]","('60 Seconds! Atomic Adventure',)","('60 Seconds! Atomic Adventure',)"
93,2948.0,Cluedo, Good quality,"[0.104477294, 0.14464648, 0.14101295, 0.13687244, 0.18734334, 0.1749261, 0.1107214]","('Bloons TD 5',)","('Bloons TD 5',)"
94,2949.0,Cluedo, 짱짱!!,"[0.105973095, 0.1481666, 0.18344906, 0.09902397, 0.19199713, 0.15873887, 0.1126513]","('Bubble Shooter',)","('Bubble Shooter',)"
95,2950.0,Cluedo, 굿,"[0.106624775, 0.1870701, 0.14387569, 0.09968547, 0.19110532, 0.1586569, 0.11298175]","('Age of Civilizations II',)","('Age of Civilizations II',)"
96,2951.0,Cluedo," 클루가 너무 하고 싶어서 혹시나 하고 받았는데, 너무 만족스러워요! 기본 테마만 있어도 충분해서 굳이 유료 테마는 사지 않았어요. 다만 터치가 잘 안 먹는 느낌? 그거 빼면 다 좋아요!","[0.1059729, 0.14816643, 0.1834502, 0.09902379, 0.19199692, 0.15873866, 0.11265111]","('Cluedo',)","('Cluedo',)"
97,2952.0,Cluedo," 영어라도 클루 룰 알면 즐겁게 할 수 있지만 어플 자체가 유료인데 인앱결제가 조금 센 가격임 그렇다고 인앱결제 강요하는 게 아니라 캐릭터, 테마가 늘어나는 거라서 기본만 있어도 충분히 좋은 게임","[0.10391482, 0.14528811, 0.14102288, 0.097100705, 0.1882671, 0.19451478, 0.12989162]","(""Assassin's Creed Rebellion"",)","(""Assassin's Creed Rebellion"",)"
98,2953.0,Cluedo, 너무 재밌어요! 사실 처음엔 무슨 게임인가 했고 따로 검색해서 룰을 읽어봐도 이해가 가다 안가다 했는데 턴을 계속 돌며 체크되는 걸 보니 감이 오더라고요! 영어여도 크게 불편함 없이 룰만 알면 즐겁게 플레이할 수 있어서 하면 할수록 재밌네요! 하지만 역시 한국어로도 번역이 되어있다면 사소한 것도 읽어도 보고 처음부터 매끄럽게 즐길 수 있을 것 같아 아쉬웠어요. 번역되면 좋겠네요!,"[0.10597459, 0.14816785, 0.14381815, 0.11882841, 0.21181774, 0.15874057, 0.11265268]","('Age of Civilizations II',)","('Age of Civilizations II',)"
